xi,v2_xi,absF,reF,imF
310,1,4.9824617346938306e-06,-4.42964941333833e-06,2.2810372668151758e-06
311,0,4.98246173469383e-06,-4.426145135670379e-06,2.2878295774969106e-06
312,3,4.9824617346937755e-06,-4.422630442855328e-06,2.294616504694629e-06
313,0,4.98246173469383e-06,-4.419105343163732e-06,2.3013980324381106e-06
314,1,4.982461734693829e-06,-4.415569844890345e-06,2.308174144769691e-06
315,0,4.98246173469383e-06,-4.412023956354588e-06,2.3149448257445474e-06
316,2,4.982461734693829e-06,-4.408467685900276e-06,2.3217100594306137e-06
317,0,4.982461734693829e-06,-4.404901041895658e-06,2.3284698299086423e-06
318,1,4.982461734693829e-06,-4.401324032733392e-06,2.33522412127224e-06
319,0,4.982461734693829e-06,-4.397736666830527e-06,2.3419729176279065e-06
320,6,4.982461734693557e-06,-4.394138952628239e-06,2.348716203094944e-06
321,0,4.982461734693828e-06,-4.390530898593018e-06,2.3554539618061347e-06
322,1,4.982461734693828e-06,-4.3869125132142445e-06,2.3621861779064974e-06
323,0,4.982461734693828e-06,-4.383283805006569e-06,2.3689128355546054e-06
324,2,4.982461734693827e-06,-4.379644782508691e-06,2.3756339189219833e-06
325,0,4.982461734693827e-06,-4.375995454283584e-06,2.382349412193273e-06
326,1,4.982461734693827e-06,-4.372335828918468e-06,2.38905929956627e-06
327,0,4.982461734693827e-06,-4.3686659150247955e-06,2.3957635652519604e-06
328,3,4.982461734693774e-06,-4.364985721238182e-06,2.402462193474535e-06
329,0,4.982461734693828e-06,-4.36129525621862e-06,2.4091551684715515e-06
330,1,4.982461734693827e-06,-4.357594528649988e-06,2.415842474493715e-06
331,0,4.982461734693827e-06,-4.353883547240502e-06,2.422524095805175e-06
332,2,4.982461734693826e-06,-4.3501623207224615e-06,2.429200016683431e-06
333,0,4.982461734693826e-06,-4.346430857852272e-06,2.4358702214193966e-06
334,1,4.982461734693827e-06,-4.342689167410425e-06,2.4425346943174355e-06
335,0,4.982461734693827e-06,-4.33893725820148e-06,2.449193419695399e-06
336,4,4.982461734693771e-06,-4.335175139053993e-06,2.455846381884636e-06
337,0,4.982461734693826e-06,-4.331402818820739e-06,2.462493565230165e-06
338,1,4.982461734693826e-06,-4.3276203063782075e-06,2.469134954090441e-06
339,0,4.982461734693826e-06,-4.3238276106270636e-06,2.475770532837661e-06
340,2,4.982461734693827e-06,-4.320024740491887e-06,2.482400285857667e-06
341,0,4.982461734693826e-06,-4.316211704921197e-06,2.4890241975500096e-06
342,1,4.982461734693826e-06,-4.312388512887436e-06,2.495642252327986e-06
343,0,4.9824617346938255e-06,-4.308555173386944e-06,2.5022544346186723e-06
344,3,4.982461734693772e-06,-4.304711695439892e-06,2.508860728862939e-06
345,0,4.982461734693826e-06,-4.300858088090496e-06,2.515461119515619e-06
346,1,4.9824617346938255e-06,-4.296994360406525e-06,2.5220555910452734e-06
347,0,4.982461734693826e-06,-4.293120521479752e-06,2.5286441279345013e-06
348,2,4.9824617346938255e-06,-4.289236580425691e-06,2.535226714679838e-06
349,0,4.9824617346938255e-06,-4.285342546383634e-06,2.5418033357918224e-06
350,1,4.982461734693825e-06,-4.281438428516617e-06,2.548373975795029e-06
351,0,4.9824617346938255e-06,-4.277524236011407e-06,2.554938619228108e-06
352,5,4.9824617346935544e-06,-4.273599978078245e-06,2.561497250643679e-06
353,0,4.9824617346938255e-06,-4.269665663951986e-06,2.568049854609067e-06
354,1,4.9824617346938255e-06,-4.265721302889754e-06,2.5745964157049437e-06
355,0,4.982461734693825e-06,-4.2617669041732435e-06,2.581136918526758e-06
356,2,4.982461734693825e-06,-4.257802477107537e-06,2.5876713476840754e-06
