xi,v2_xi,absF,reF,imF
1,0,4.695012019230766e-06,-4.695011673986428e-06,1.8005145149648593e-09
2,1,4.695012019230767e-06,-4.695010638253463e-06,3.601028765130634e-09
3,0,4.695012019230767e-06,-4.695008912032025e-06,5.401542485698279e-09
4,2,4.695012019230768e-06,-4.695006495322367e-06,7.202055411868825e-09
5,0,4.695012019230768e-06,-4.695003388124843e-06,9.00256727884342e-09
6,1,4.695012019230767e-06,-4.694999590439912e-06,1.0803077821823373e-08
7,0,4.695012019230767e-06,-4.694995102268132e-06,1.260358677601018e-08
8,3,4.695012019230754e-06,-4.69498992361015e-06,1.4404093876605534e-08
9,0,4.695012019230767e-06,-4.694984054466766e-06,1.6204598858811565e-08
10,1,4.695012019230768e-06,-4.6949774948388055e-06,1.8005101457830464e-08
11,0,4.695012019230768e-06,-4.694970244727245e-06,1.9805601408864942e-08
12,2,4.695012019230769e-06,-4.6949623041331515e-06,2.1606098447118057e-08
13,0,4.695012019230769e-06,-4.694953673057692e-06,2.3406592307793292e-08
14,1,4.695012019230769e-06,-4.6949443515021366e-06,2.5207082726094604e-08
15,0,4.695012019230769e-06,-4.694934339467856e-06,2.7007569437226447e-08
16,4,4.695012019230755e-06,-4.694923636956309e-06,2.8808052176393743e-08
17,0,4.695012019230769e-06,-4.69491224396911e-06,3.060853067880234e-08
18,1,4.695012019230769e-06,-4.694900160507895e-06,3.240900467965818e-08
19,0,4.6950120192307695e-06,-4.694887386574454e-06,3.420947391416824e-08
20,2,4.6950120192307695e-06,-4.694873922170664e-06,3.6009938117540085e-08
21,0,4.6950120192307695e-06,-4.694859767298508e-06,3.781039702498203e-08
22,1,4.6950120192307695e-06,-4.694844921960066e-06,3.9610850371703165e-08
23,0,4.69501201923077e-06,-4.694829386157523e-06,4.1411297892913405e-08
24,3,4.695012019230757e-06,-4.6948131598931474e-06,4.32117393238234e-08
25,0,4.695012019230771e-06,-4.694796243169369e-06,4.5012174399645175e-08
26,1,4.695012019230771e-06,-4.694778635988633e-06,4.681260285559096e-08
27,0,4.695012019230771e-06,-4.694760338353543e-06,4.861302442687446e-08
28,2,4.695012019230771e-06,-4.694741350266791e-06,5.041343884871024e-08
29,0,4.695012019230771e-06,-4.694721671731169e-06,5.221384585631396e-08
30,1,4.695012019230772e-06,-4.694701302749571e-06,5.401424518490233e-08
31,0,4.695012019230772e-06,-4.694680243324992e-06,5.581463656969321e-08
32,5,4.695012019230759e-06,-4.694658493460517e-06,5.761501974590546e-08
33,0,4.695012019230773e-06,-4.694636053159384e-06,5.94153944487598e-08
34,1,4.695012019230774e-06,-4.694612922424854e-06,6.121576041347721e-08
35,0,4.695012019230774e-06,-4.694589101260341e-06,6.301611737528063e-08
36,2,4.695012019230774e-06,-4.694564589669348e-06,6.481646506939415e-08
37,0,4.6950120192307746e-06,-4.694539387655483e-06,6.66168032310432e-08
38,1,4.6950120192307746e-06,-4.694513495222448e-06,6.841713159545465e-08
39,0,4.6950120192307746e-06,-4.694486912374054e-06,7.021744989785678e-08
40,3,4.695012019230761e-06,-4.694459639114196e-06,7.201775787347915e-08
41,0,4.695012019230775e-06,-4.694431675446926e-06,7.381805525755369e-08
42,1,4.695012019230775e-06,-4.694403021376316e-06,7.56183417853126e-08
43,0,4.695012019230775e-06,-4.694373676906593e-06,7.741861719199054e-08
44,2,4.695012019230776e-06,-4.694343642042074e-06,7.921888121282363e-08
45,0,4.695012019230776e-06,-4.694312916787174e-06,8.101913358304958e-08
46,1,4.695012019230776e-06,-4.694281501146413e-06,8.281937403790789e-08
47,0,4.695012019230777e-06,-4.694249395124412e-06,8.461960231263975e-08
48,4,4.6950120192307636e-06,-4.694216598725878e-06,8.641981814248793e-08
49,0,4.695012019230777e-06,-4.694183111955675e-06,8.822002126269803e-08
50,1,4.695012019230777e-06,-4.694148934818688e-06,9.002021140851602e-08
51,0,4.695012019230777e-06,-4.6941140673199565e-06,9.182038831519077e-08
52,2,4.695012019230777e-06,-4.694078509464609e-06,9.362055171797281e-08
53,0,4.695012019230777e-06,-4.6940422612578734e-06,9.542070135211475e-08
54,1,4.695012019230777e-06,-4.694005322705082e-06,9.722083695287113e-08
55,0,4.695012019230777e-06,-4.6939676938116675e-06,9.902095825549857e-08
56,3,4.6950120192307636e-06,-4.693929374583149e-06,1.0082106499525558e-07
57,0,4.695012019230778e-06,-4.693890365025205e-06,1.026211569074039e-07
