residue_a,count_A,count_B,hat_p
1,4,3,0.75
3,4,0,0.0
5,4,4,1.0
7,4,0,0.0
9,4,4,1.0
11,4,0,0.0
13,4,4,1.0
15,4,0,0.0
17,4,4,1.0
19,4,0,0.0
21,4,4,1.0
23,4,0,0.0
25,4,4,1.0
27,4,0,0.0
29,4,4,1.0
31,4,0,0.0
33,4,4,1.0
35,4,0,0.0
37,4,4,1.0
39,4,0,0.0
41,4,4,1.0
43,4,0,0.0
45,4,4,1.0
47,4,0,0.0
49,4,4,1.0
51,4,0,0.0
53,4,4,1.0
55,4,0,0.0
57,4,4,1.0
59,4,0,0.0
61,4,4,1.0
63,4,0,0.0
65,4,4,1.0
67,4,0,0.0
69,4,4,1.0
71,4,0,0.0
73,4,4,1.0
75,4,0,0.0
77,4,4,1.0
79,4,0,0.0
81,4,4,1.0
83,4,0,0.0
85,4,4,1.0
87,4,0,0.0
89,4,4,1.0
91,4,0,0.0
93,4,4,1.0
95,4,0,0.0
97,4,4,1.0
99,4,0,0.0
101,4,4,1.0
103,4,0,0.0
105,4,4,1.0
107,4,0,0.0
109,4,4,1.0
111,4,0,0.0
113,4,4,1.0
115,4,0,0.0
117,4,4,1.0
119,4,0,0.0
121,4,4,1.0
123,4,0,0.0
125,4,4,1.0
127,4,0,0.0
129,4,4,1.0
131,4,0,0.0
133,4,4,1.0
135,4,0,0.0
137,4,4,1.0
139,4,0,0.0
141,4,4,1.0
143,4,0,0.0
145,4,4,1.0
147,4,0,0.0
149,4,4,1.0
151,4,0,0.0
153,4,4,1.0
155,4,0,0.0
157,4,4,1.0
159,4,0,0.0
161,4,4,1.0
163,4,0,0.0
165,4,4,1.0
167,4,0,0.0
169,4,4,1.0
171,4,0,0.0
173,4,4,1.0
175,4,0,0.0
177,4,4,1.0
179,4,0,0.0
181,4,4,1.0
183,4,0,0.0
185,4,4,1.0
187,4,0,0.0
189,4,4,1.0
191,4,0,0.0
193,4,4,1.0
195,4,0,0.0
197,4,4,1.0
199,4,0,0.0
201,4,4,1.0
203,4,0,0.0
205,4,4,1.0
207,4,0,0.0
209,4,4,1.0
211,4,0,0.0
213,4,4,1.0
215,4,0,0.0
217,4,4,1.0
219,4,0,0.0
221,4,4,1.0
223,4,0,0.0
225,4,4,1.0
227,4,0,0.0
229,4,4,1.0
231,4,0,0.0
233,4,4,1.0
235,4,0,0.0
237,4,4,1.0
239,4,0,0.0
241,4,4,1.0
243,4,0,0.0
245,4,4,1.0
247,4,0,0.0
249,4,4,1.0
251,4,0,0.0
253,4,4,1.0
255,4,0,0.0
257,4,4,1.0
259,4,0,0.0
261,4,4,1.0
263,4,0,0.0
265,4,4,1.0
267,4,0,0.0
269,4,4,1.0
271,4,0,0.0
273,4,4,1.0
275,4,0,0.0
277,4,4,1.0
279,4,0,0.0
281,4,4,1.0
283,4,0,0.0
285,4,4,1.0
287,4,0,0.0
289,4,4,1.0
291,4,0,0.0
293,4,4,1.0
295,4,0,0.0
297,4,4,1.0
299,4,0,0.0
301,4,4,1.0
303,4,0,0.0
305,4,4,1.0
307,4,0,0.0
309,4,4,1.0
311,4,0,0.0
313,4,4,1.0
315,4,0,0.0
317,4,4,1.0
319,4,0,0.0
321,4,4,1.0
323,4,0,0.0
325,4,4,1.0
327,4,0,0.0
329,4,4,1.0
331,4,0,0.0
333,4,4,1.0
335,4,0,0.0
337,4,4,1.0
339,4,0,0.0
341,4,4,1.0
343,4,0,0.0
345,4,4,1.0
347,4,0,0.0
349,4,4,1.0
351,4,0,0.0
353,4,4,1.0
355,4,0,0.0
357,4,4,1.0
359,4,0,0.0
361,4,4,1.0
363,4,0,0.0
365,4,4,1.0
367,4,0,0.0
369,4,4,1.0
371,4,0,0.0
373,4,4,1.0
375,4,0,0.0
377,4,4,1.0
379,4,0,0.0
381,4,4,1.0
383,4,0,0.0
385,4,4,1.0
387,4,0,0.0
389,4,4,1.0
391,4,0,0.0
393,4,4,1.0
395,4,0,0.0
397,4,4,1.0
399,4,0,0.0
401,4,4,1.0
403,4,0,0.0
405,4,4,1.0
407,4,0,0.0
409,4,4,1.0
411,4,0,0.0
413,4,4,1.0
415,4,0,0.0
417,4,4,1.0
419,4,0,0.0
421,4,4,1.0
423,4,0,0.0
425,4,4,1.0
427,4,0,0.0
429,4,4,1.0
431,4,0,0.0
433,4,4,1.0
435,4,0,0.0
437,4,4,1.0
439,4,0,0.0
441,4,4,1.0
443,4,0,0.0
445,4,4,1.0
447,4,0,0.0
449,4,4,1.0
451,4,0,0.0
453,4,4,1.0
455,4,0,0.0
457,4,4,1.0
459,4,0,0.0
461,4,4,1.0
463,4,0,0.0
465,4,4,1.0
467,4,0,0.0
469,4,4,1.0
471,4,0,0.0
473,4,4,1.0
475,4,0,0.0
477,4,4,1.0
479,4,0,0.0
481,4,4,1.0
483,4,0,0.0
485,4,4,1.0
487,4,0,0.0
489,4,4,1.0
491,4,0,0.0
493,4,4,1.0
495,4,0,0.0
497,4,4,1.0
499,4,0,0.0
501,4,4,1.0
503,4,0,0.0
505,4,4,1.0
507,4,0,0.0
509,4,4,1.0
511,4,0,0.0
513,4,4,1.0
515,4,0,0.0
517,4,4,1.0
519,4,0,0.0
521,4,4,1.0
523,4,0,0.0
525,4,4,1.0
527,4,0,0.0
529,4,4,1.0
531,4,0,0.0
533,4,4,1.0
535,4,0,0.0
537,4,4,1.0
539,4,0,0.0
541,4,4,1.0
543,4,0,0.0
545,4,4,1.0
547,4,0,0.0
549,4,4,1.0
551,4,0,0.0
553,4,4,1.0
555,4,0,0.0
557,4,4,1.0
559,4,0,0.0
561,4,4,1.0
563,4,0,0.0
565,4,4,1.0
567,4,0,0.0
569,4,4,1.0
571,4,0,0.0
573,4,4,1.0
575,4,0,0.0
577,4,4,1.0
579,4,0,0.0
581,4,4,1.0
583,4,0,0.0
585,4,4,1.0
587,4,0,0.0
589,4,4,1.0
591,4,0,0.0
593,4,4,1.0
595,4,0,0.0
597,4,4,1.0
599,4,0,0.0
601,4,4,1.0
603,4,0,0.0
605,4,4,1.0
607,4,0,0.0
609,4,4,1.0
611,4,0,0.0
613,4,4,1.0
615,4,0,0.0
617,4,4,1.0
619,4,0,0.0
621,4,4,1.0
623,4,0,0.0
625,4,4,1.0
627,4,0,0.0
629,4,4,1.0
631,4,0,0.0
633,4,4,1.0
635,4,0,0.0
637,4,4,1.0
639,4,0,0.0
641,4,4,1.0
643,4,0,0.0
645,4,4,1.0
647,4,0,0.0
649,4,4,1.0
651,4,0,0.0
653,4,4,1.0
655,4,0,0.0
657,4,4,1.0
659,4,0,0.0
661,4,4,1.0
663,4,0,0.0
665,4,4,1.0
667,4,0,0.0
669,4,4,1.0
671,4,0,0.0
673,4,4,1.0
675,4,0,0.0
677,4,4,1.0
679,4,0,0.0
681,4,4,1.0
683,4,0,0.0
685,4,4,1.0
687,4,0,0.0
689,4,4,1.0
691,4,0,0.0
693,4,4,1.0
695,4,0,0.0
697,4,4,1.0
699,4,0,0.0
701,4,4,1.0
703,4,0,0.0
705,4,4,1.0
707,4,0,0.0
709,4,4,1.0
711,4,0,0.0
713,4,4,1.0
715,4,0,0.0
717,4,4,1.0
719,4,0,0.0
721,4,4,1.0
723,4,0,0.0
725,4,4,1.0
727,4,0,0.0
729,4,4,1.0
731,4,0,0.0
733,4,4,1.0
735,4,0,0.0
737,4,4,1.0
739,4,0,0.0
741,4,4,1.0
743,4,0,0.0
745,4,4,1.0
747,4,0,0.0
749,4,4,1.0
751,4,0,0.0
753,4,4,1.0
755,4,0,0.0
757,4,4,1.0
759,4,0,0.0
761,4,4,1.0
763,4,0,0.0
765,4,4,1.0
767,4,0,0.0
769,4,4,1.0
771,4,0,0.0
773,4,4,1.0
775,4,0,0.0
777,4,4,1.0
779,4,0,0.0
781,4,4,1.0
783,4,0,0.0
785,4,4,1.0
787,4,0,0.0
789,4,4,1.0
791,4,0,0.0
793,4,4,1.0
795,4,0,0.0
797,4,4,1.0
799,4,0,0.0
801,4,4,1.0
803,4,0,0.0
805,4,4,1.0
807,4,0,0.0
809,4,4,1.0
811,4,0,0.0
813,4,4,1.0
815,4,0,0.0
817,4,4,1.0
819,4,0,0.0
821,4,4,1.0
823,4,0,0.0
825,4,4,1.0
827,4,0,0.0
829,4,4,1.0
831,4,0,0.0
833,4,4,1.0
835,4,0,0.0
837,4,4,1.0
839,4,0,0.0
841,4,4,1.0
843,4,0,0.0
845,4,4,1.0
847,4,0,0.0
849,4,4,1.0
851,4,0,0.0
853,4,4,1.0
855,4,0,0.0
857,4,4,1.0
859,4,0,0.0
861,4,4,1.0
863,4,0,0.0
865,4,4,1.0
867,4,0,0.0
869,4,4,1.0
871,4,0,0.0
873,4,4,1.0
875,4,0,0.0
877,4,4,1.0
879,4,0,0.0
881,4,4,1.0
883,4,0,0.0
885,4,4,1.0
887,4,0,0.0
889,4,4,1.0
891,4,0,0.0
893,4,4,1.0
895,4,0,0.0
897,4,4,1.0
899,4,0,0.0
901,4,4,1.0
903,4,0,0.0
905,4,4,1.0
907,4,0,0.0
909,4,4,1.0
911,4,0,0.0
913,4,4,1.0
915,4,0,0.0
917,4,4,1.0
919,4,0,0.0
921,4,4,1.0
923,4,0,0.0
925,4,4,1.0
927,4,0,0.0
929,4,4,1.0
931,4,0,0.0
933,4,4,1.0
935,4,0,0.0
937,4,4,1.0
939,4,0,0.0
941,4,4,1.0
943,4,0,0.0
945,4,4,1.0
947,4,0,0.0
949,4,4,1.0
951,4,0,0.0
953,4,4,1.0
955,4,0,0.0
957,4,4,1.0
959,4,0,0.0
961,4,4,1.0
963,4,0,0.0
965,4,4,1.0
967,4,0,0.0
969,4,4,1.0
971,4,0,0.0
973,4,4,1.0
975,4,0,0.0
977,4,4,1.0
979,4,0,0.0
981,4,4,1.0
983,4,0,0.0
985,4,4,1.0
987,4,0,0.0
