residue_a,count_A,count_B,hat_p
1,49,48,0.9795918367346939
3,49,0,0.0
5,49,49,1.0
7,49,0,0.0
9,49,49,1.0
11,49,0,0.0
13,49,49,1.0
15,49,0,0.0
17,49,49,1.0
19,49,0,0.0
21,49,49,1.0
23,49,0,0.0
25,49,49,1.0
27,49,0,0.0
29,49,49,1.0
31,49,0,0.0
33,49,49,1.0
35,49,0,0.0
37,49,49,1.0
39,49,0,0.0
41,49,49,1.0
43,49,0,0.0
45,49,49,1.0
47,49,0,0.0
49,49,49,1.0
51,49,0,0.0
53,49,49,1.0
55,49,0,0.0
57,49,49,1.0
59,49,0,0.0
61,49,49,1.0
63,49,0,0.0
65,49,49,1.0
67,49,0,0.0
69,49,49,1.0
71,49,0,0.0
73,49,49,1.0
75,49,0,0.0
77,49,49,1.0
79,49,0,0.0
81,49,49,1.0
83,49,0,0.0
85,49,49,1.0
87,49,0,0.0
89,49,49,1.0
91,49,0,0.0
93,49,49,1.0
95,49,0,0.0
97,49,49,1.0
99,49,0,0.0
101,49,49,1.0
103,49,0,0.0
105,49,49,1.0
107,49,0,0.0
109,49,49,1.0
111,49,0,0.0
113,49,49,1.0
115,49,0,0.0
117,49,49,1.0
119,49,0,0.0
121,49,49,1.0
123,49,0,0.0
125,49,49,1.0
127,49,0,0.0
129,49,49,1.0
131,49,0,0.0
133,49,49,1.0
135,49,0,0.0
137,49,49,1.0
139,49,0,0.0
141,49,49,1.0
143,49,0,0.0
145,49,49,1.0
147,49,0,0.0
149,49,49,1.0
151,49,0,0.0
153,49,49,1.0
155,49,0,0.0
157,49,49,1.0
159,49,0,0.0
161,49,49,1.0
163,49,0,0.0
165,49,49,1.0
167,49,0,0.0
169,49,49,1.0
171,49,0,0.0
173,49,49,1.0
175,49,0,0.0
177,49,49,1.0
179,49,0,0.0
181,49,49,1.0
183,49,0,0.0
185,49,49,1.0
187,49,0,0.0
189,49,49,1.0
191,49,0,0.0
193,49,49,1.0
195,49,0,0.0
197,49,49,1.0
199,49,0,0.0
201,49,49,1.0
203,49,0,0.0
205,49,49,1.0
207,49,0,0.0
209,49,49,1.0
211,49,0,0.0
213,49,49,1.0
215,49,0,0.0
217,49,49,1.0
219,49,0,0.0
221,49,49,1.0
223,49,0,0.0
225,49,49,1.0
227,49,0,0.0
229,49,49,1.0
231,49,0,0.0
233,49,49,1.0
235,49,0,0.0
237,49,49,1.0
239,49,0,0.0
241,49,49,1.0
243,49,0,0.0
245,49,49,1.0
247,49,0,0.0
249,49,49,1.0
251,49,0,0.0
253,49,49,1.0
255,49,0,0.0
257,49,49,1.0
259,49,0,0.0
261,49,49,1.0
263,49,0,0.0
265,49,49,1.0
267,49,0,0.0
269,49,49,1.0
271,49,0,0.0
273,49,49,1.0
275,49,0,0.0
277,49,49,1.0
279,49,0,0.0
281,49,49,1.0
283,49,0,0.0
285,49,49,1.0
287,49,0,0.0
289,49,49,1.0
291,49,0,0.0
293,49,49,1.0
295,49,0,0.0
297,49,49,1.0
299,49,0,0.0
301,49,49,1.0
303,49,0,0.0
305,49,49,1.0
307,49,0,0.0
309,49,49,1.0
311,49,0,0.0
313,49,49,1.0
315,49,0,0.0
317,49,49,1.0
319,49,0,0.0
321,49,49,1.0
323,49,0,0.0
325,49,49,1.0
327,49,0,0.0
329,49,49,1.0
331,49,0,0.0
333,49,49,1.0
335,49,0,0.0
337,49,49,1.0
339,49,0,0.0
341,49,49,1.0
343,49,0,0.0
345,49,49,1.0
347,49,0,0.0
349,49,49,1.0
351,49,0,0.0
353,49,49,1.0
355,49,0,0.0
357,49,49,1.0
359,49,0,0.0
361,49,49,1.0
363,49,0,0.0
365,49,49,1.0
367,49,0,0.0
369,49,49,1.0
371,49,0,0.0
373,49,49,1.0
375,49,0,0.0
377,49,49,1.0
379,49,0,0.0
381,49,49,1.0
383,49,0,0.0
385,49,49,1.0
387,49,0,0.0
389,49,49,1.0
391,49,0,0.0
393,49,49,1.0
395,49,0,0.0
397,49,49,1.0
399,49,0,0.0
401,49,49,1.0
403,49,0,0.0
405,49,49,1.0
407,49,0,0.0
409,49,49,1.0
411,49,0,0.0
413,49,49,1.0
415,49,0,0.0
417,49,49,1.0
419,49,0,0.0
421,49,49,1.0
423,49,0,0.0
425,49,49,1.0
427,49,0,0.0
429,49,49,1.0
431,49,0,0.0
433,49,49,1.0
435,49,0,0.0
437,49,49,1.0
439,49,0,0.0
441,49,49,1.0
443,49,0,0.0
445,49,49,1.0
447,49,0,0.0
449,49,49,1.0
451,49,0,0.0
453,49,49,1.0
455,49,0,0.0
