residue_a,count_A,count_B,hat_p
1,13,12,0.9230769230769231
3,13,0,0.0
5,13,13,1.0
7,13,0,0.0
9,13,13,1.0
11,13,0,0.0
13,13,13,1.0
15,13,0,0.0
17,13,13,1.0
19,13,0,0.0
21,13,13,1.0
23,13,0,0.0
25,13,13,1.0
27,13,0,0.0
29,13,13,1.0
31,13,0,0.0
33,13,13,1.0
35,13,0,0.0
37,13,13,1.0
39,13,0,0.0
41,13,13,1.0
43,13,0,0.0
45,13,13,1.0
47,13,0,0.0
49,13,13,1.0
51,13,0,0.0
53,13,13,1.0
55,13,0,0.0
57,13,13,1.0
59,13,0,0.0
61,13,13,1.0
63,13,0,0.0
65,13,13,1.0
67,13,0,0.0
69,13,13,1.0
71,13,0,0.0
73,13,13,1.0
75,13,0,0.0
77,13,13,1.0
79,13,0,0.0
81,13,13,1.0
83,13,0,0.0
85,13,13,1.0
87,13,0,0.0
89,13,13,1.0
91,13,0,0.0
93,13,13,1.0
95,13,0,0.0
97,13,13,1.0
99,13,0,0.0
101,13,13,1.0
103,13,0,0.0
105,13,13,1.0
107,13,0,0.0
109,13,13,1.0
111,13,0,0.0
113,13,13,1.0
115,13,0,0.0
117,13,13,1.0
119,13,0,0.0
121,13,13,1.0
123,13,0,0.0
125,13,13,1.0
127,13,0,0.0
129,13,13,1.0
131,13,0,0.0
133,13,13,1.0
135,13,0,0.0
137,13,13,1.0
139,13,0,0.0
141,13,13,1.0
143,13,0,0.0
145,13,13,1.0
147,13,0,0.0
149,13,13,1.0
151,13,0,0.0
153,13,13,1.0
155,13,0,0.0
157,13,13,1.0
159,13,0,0.0
161,13,13,1.0
163,13,0,0.0
165,13,13,1.0
167,13,0,0.0
169,13,13,1.0
171,13,0,0.0
173,13,13,1.0
175,13,0,0.0
177,13,13,1.0
179,13,0,0.0
181,13,13,1.0
183,13,0,0.0
185,13,13,1.0
187,13,0,0.0
189,13,13,1.0
191,13,0,0.0
193,13,13,1.0
195,13,0,0.0
197,13,13,1.0
199,13,0,0.0
201,13,13,1.0
203,13,0,0.0
205,13,13,1.0
207,13,0,0.0
209,13,13,1.0
211,13,0,0.0
213,13,13,1.0
215,13,0,0.0
217,13,13,1.0
219,13,0,0.0
221,13,13,1.0
223,13,0,0.0
225,13,13,1.0
227,13,0,0.0
229,13,13,1.0
231,13,0,0.0
233,13,13,1.0
235,13,0,0.0
237,13,13,1.0
239,13,0,0.0
241,13,13,1.0
243,13,0,0.0
245,13,13,1.0
247,13,0,0.0
249,13,13,1.0
251,13,0,0.0
253,13,13,1.0
255,13,0,0.0
257,13,13,1.0
259,13,0,0.0
261,13,13,1.0
263,13,0,0.0
265,13,13,1.0
267,13,0,0.0
269,13,13,1.0
271,13,0,0.0
273,13,13,1.0
275,13,0,0.0
277,13,13,1.0
279,13,0,0.0
281,13,13,1.0
283,13,0,0.0
285,13,13,1.0
287,13,0,0.0
289,13,13,1.0
291,13,0,0.0
293,13,13,1.0
295,13,0,0.0
297,13,13,1.0
299,13,0,0.0
301,13,13,1.0
303,13,0,0.0
305,13,13,1.0
307,13,0,0.0
309,13,13,1.0
311,13,0,0.0
313,13,13,1.0
315,13,0,0.0
317,13,13,1.0
319,13,0,0.0
321,13,13,1.0
323,13,0,0.0
325,13,13,1.0
327,13,0,0.0
329,13,13,1.0
331,13,0,0.0
333,13,13,1.0
335,13,0,0.0
337,13,13,1.0
339,13,0,0.0
341,13,13,1.0
343,13,0,0.0
345,13,13,1.0
347,13,0,0.0
349,13,13,1.0
351,13,0,0.0
353,13,13,1.0
355,13,0,0.0
357,13,13,1.0
359,13,0,0.0
361,13,13,1.0
363,13,0,0.0
365,13,13,1.0
367,13,0,0.0
369,13,13,1.0
371,13,0,0.0
373,13,13,1.0
375,13,0,0.0
377,13,13,1.0
379,13,0,0.0
381,13,13,1.0
383,13,0,0.0
385,13,13,1.0
387,13,0,0.0
389,13,13,1.0
391,13,0,0.0
393,13,13,1.0
395,13,0,0.0
397,13,13,1.0
399,13,0,0.0
401,13,13,1.0
403,13,0,0.0
405,13,13,1.0
407,13,0,0.0
409,13,13,1.0
411,13,0,0.0
413,13,13,1.0
415,13,0,0.0
417,13,13,1.0
419,13,0,0.0
421,13,13,1.0
423,13,0,0.0
425,13,13,1.0
427,13,0,0.0
429,13,13,1.0
431,13,0,0.0
433,13,13,1.0
435,13,0,0.0
437,13,13,1.0
439,13,0,0.0
441,13,13,1.0
443,13,0,0.0
445,13,13,1.0
447,13,0,0.0
449,13,13,1.0
451,13,0,0.0
453,13,13,1.0
455,13,0,0.0
457,13,13,1.0
459,13,0,0.0
461,13,13,1.0
463,13,0,0.0
465,13,13,1.0
467,13,0,0.0
469,13,13,1.0
471,13,0,0.0
473,13,13,1.0
475,13,0,0.0
477,13,13,1.0
479,13,0,0.0
481,13,13,1.0
483,13,0,0.0
485,13,13,1.0
487,13,0,0.0
489,13,13,1.0
491,13,0,0.0
493,13,13,1.0
495,13,0,0.0
497,13,13,1.0
499,13,0,0.0
501,13,13,1.0
503,13,0,0.0
505,13,13,1.0
507,13,0,0.0
509,13,13,1.0
511,13,0,0.0
513,13,13,1.0
515,13,0,0.0
517,13,13,1.0
519,13,0,0.0
521,13,13,1.0
523,13,0,0.0
525,13,13,1.0
527,13,0,0.0
529,13,13,1.0
531,13,0,0.0
533,13,13,1.0
535,13,0,0.0
537,13,13,1.0
539,13,0,0.0
541,13,13,1.0
543,13,0,0.0
545,13,13,1.0
547,13,0,0.0
549,13,13,1.0
551,13,0,0.0
553,13,13,1.0
555,13,0,0.0
557,13,13,1.0
559,13,0,0.0
561,13,13,1.0
563,13,0,0.0
565,13,13,1.0
567,13,0,0.0
569,13,13,1.0
571,13,0,0.0
573,13,13,1.0
575,13,0,0.0
577,13,13,1.0
579,13,0,0.0
581,13,13,1.0
583,13,0,0.0
585,13,13,1.0
587,13,0,0.0
589,13,13,1.0
591,13,0,0.0
593,13,13,1.0
595,13,0,0.0
597,13,13,1.0
599,13,0,0.0
601,13,13,1.0
603,13,0,0.0
605,13,13,1.0
607,13,0,0.0
609,13,13,1.0
611,13,0,0.0
613,13,13,1.0
615,13,0,0.0
617,13,13,1.0
619,13,0,0.0
621,13,13,1.0
623,13,0,0.0
625,13,13,1.0
627,13,0,0.0
629,13,13,1.0
631,13,0,0.0
633,13,13,1.0
635,13,0,0.0
637,13,13,1.0
639,13,0,0.0
641,13,13,1.0
643,13,0,0.0
645,13,13,1.0
647,13,0,0.0
649,13,13,1.0
651,13,0,0.0
653,13,13,1.0
655,13,0,0.0
657,13,13,1.0
659,13,0,0.0
661,13,13,1.0
663,13,0,0.0
665,13,13,1.0
667,13,0,0.0
669,13,13,1.0
671,13,0,0.0
673,13,13,1.0
675,13,0,0.0
677,13,13,1.0
679,13,0,0.0
681,13,13,1.0
683,13,0,0.0
685,13,13,1.0
687,13,0,0.0
689,13,13,1.0
691,13,0,0.0
693,13,13,1.0
695,13,0,0.0
697,13,13,1.0
699,13,0,0.0
701,13,13,1.0
703,13,0,0.0
705,13,13,1.0
707,13,0,0.0
709,13,13,1.0
711,13,0,0.0
713,13,13,1.0
715,13,0,0.0
717,13,13,1.0
719,13,0,0.0
721,13,13,1.0
723,13,0,0.0
725,13,13,1.0
727,13,0,0.0
729,13,13,1.0
731,13,0,0.0
733,13,13,1.0
735,13,0,0.0
737,13,13,1.0
739,13,0,0.0
741,13,13,1.0
743,13,0,0.0
745,13,13,1.0
747,13,0,0.0
749,13,13,1.0
751,13,0,0.0
753,13,13,1.0
755,13,0,0.0
757,13,13,1.0
759,13,0,0.0
761,13,13,1.0
763,13,0,0.0
765,13,13,1.0
767,13,0,0.0
769,13,13,1.0
771,13,0,0.0
773,13,13,1.0
775,13,0,0.0
777,13,13,1.0
779,13,0,0.0
781,13,13,1.0
783,13,0,0.0
785,13,13,1.0
787,13,0,0.0
789,13,13,1.0
791,13,0,0.0
793,13,13,1.0
795,13,0,0.0
797,13,13,1.0
799,13,0,0.0
801,13,13,1.0
803,13,0,0.0
805,13,13,1.0
807,13,0,0.0
809,13,13,1.0
811,13,0,0.0
813,13,13,1.0
815,13,0,0.0
817,13,13,1.0
819,13,0,0.0
821,13,13,1.0
823,13,0,0.0
825,13,13,1.0
827,13,0,0.0
829,13,13,1.0
831,13,0,0.0
833,13,13,1.0
835,13,0,0.0
837,13,13,1.0
839,13,0,0.0
841,13,13,1.0
843,13,0,0.0
845,13,13,1.0
847,13,0,0.0
849,13,13,1.0
851,13,0,0.0
853,13,13,1.0
855,13,0,0.0
857,13,13,1.0
859,13,0,0.0
861,13,13,1.0
863,13,0,0.0
865,13,13,1.0
867,13,0,0.0
869,13,13,1.0
871,13,0,0.0
873,13,13,1.0
875,13,0,0.0
877,13,13,1.0
879,13,0,0.0
881,13,13,1.0
883,13,0,0.0
885,13,13,1.0
887,13,0,0.0
889,13,13,1.0
891,13,0,0.0
893,13,13,1.0
895,13,0,0.0
897,13,13,1.0
899,13,0,0.0
901,13,13,1.0
903,13,0,0.0
905,13,13,1.0
907,13,0,0.0
909,13,13,1.0
911,13,0,0.0
913,13,13,1.0
915,13,0,0.0
917,13,13,1.0
919,13,0,0.0
921,13,13,1.0
923,13,0,0.0
925,13,13,1.0
927,13,0,0.0
929,13,13,1.0
931,13,0,0.0
933,13,13,1.0
935,13,0,0.0
937,13,13,1.0
939,13,0,0.0
941,13,13,1.0
943,13,0,0.0
945,13,13,1.0
947,13,0,0.0
949,13,13,1.0
951,13,0,0.0
953,13,13,1.0
955,13,0,0.0
957,13,13,1.0
959,13,0,0.0
961,13,13,1.0
963,13,0,0.0
965,13,13,1.0
967,13,0,0.0
969,13,13,1.0
971,13,0,0.0
973,13,13,1.0
975,13,0,0.0
977,13,13,1.0
979,13,0,0.0
981,13,13,1.0
983,13,0,0.0
985,13,13,1.0
987,13,0,0.0
989,13,13,1.0
991,13,0,0.0
993,13,13,1.0
995,13,0,0.0
997,13,13,1.0
999,13,0,0.0
1001,13,13,1.0
1003,13,0,0.0
1005,13,13,1.0
1007,13,0,0.0
1009,13,13,1.0
1011,13,0,0.0
1013,13,13,1.0
1015,13,0,0.0
1017,13,13,1.0
1019,13,0,0.0
1021,13,13,1.0
1023,13,0,0.0
1025,13,13,1.0
1027,13,0,0.0
1029,13,13,1.0
1031,13,0,0.0
1033,13,13,1.0
1035,13,0,0.0
1037,13,13,1.0
1039,13,0,0.0
1041,13,13,1.0
1043,13,0,0.0
1045,13,13,1.0
1047,13,0,0.0
1049,13,13,1.0
1051,13,0,0.0
1053,13,13,1.0
1055,13,0,0.0
1057,13,13,1.0
1059,13,0,0.0
1061,13,13,1.0
1063,13,0,0.0
