xi,v2_xi,absF,reF,imF
1,0,9.76562500000003e-05,-9.76268377633015e-05,2.3966043479406604e-06
2,1,9.765625000000052e-05,-9.753861877003689e-05,4.791765071036941e-06
3,0,9.765625000000032e-05,-9.739164616002866e-05,7.1840394140300445e-06
4,2,9.765625000000053e-05,-9.718600846408226e-05,9.571986360308704e-06
5,0,9.765625000000032e-05,-9.692182955065559e-05,1.1954167499923494e-05
6,1,9.765625000000055e-05,-9.659926855124868e-05,1.4329147896031498e-05
7,0,9.765625000000033e-05,-9.621851976454537e-05,1.669549694924822e-05
8,3,9.765625000000141e-05,-9.577981253937936e-05,1.90517892593878e-05
9,0,9.765625000000034e-05,-9.528341113657539e-05,2.1396605484069387e-05
10,1,9.765625000000055e-05,-9.472961456978022e-05,2.3728533193678246e-05
11,0,9.765625000000033e-05,-9.411875642533625e-05,2.6046167722158134e-05
12,2,9.765625000000056e-05,-9.345120466134906e-05,2.834811301313125e-05
13,0,9.765625000000034e-05,-9.272736138603906e-05,3.063298246082935e-05
14,1,9.765625000000056e-05,-9.19476626155299e-05,3.2899399745334176e-05
15,0,9.765625000000034e-05,-9.11125780112053e-05,3.514599966162006e-05
16,4,9.765625000000143e-05,-9.022261059680667e-05,3.737142894190384e-05
17,0,9.765625000000034e-05,-8.927829645542323e-05,3.9574347070799933e-05
18,1,9.765625000000057e-05,-8.828020440658678e-05,4.175342709280123e-05
19,0,9.765625000000036e-05,-8.722893566362487e-05,4.3907356411582835e-05
20,2,9.765625000000057e-05,-8.612512347151955e-05,4.603483758066411e-05
21,0,9.765625000000037e-05,-8.496943272546042e-05,4.8134589084940025e-05
22,1,9.765625000000057e-05,-8.376255957033957e-05,5.02053461126196e-05
23,0,9.765625000000037e-05,-8.250523098141703e-05,5.2245861317099524e-05
24,3,9.765625000000147e-05,-8.119820432642166e-05,5.425490556832134e-05
25,0,9.765625000000038e-05,-7.984226690933467e-05,5.623126869314917e-05
26,1,9.765625000000059e-05,-7.843823549615721e-05,5.8173760204339535e-05
27,0,9.765625000000038e-05,-7.698695582291108e-05,6.008121001763956e-05
28,2,9.76562500000006e-05,-7.548930208620526e-05,6.195246915660637e-05
29,0,9.765625000000038e-05,-7.394617641664919e-05,6.378641044470499e-05
30,1,9.76562500000006e-05,-7.235850833544569e-05,6.558192918427952e-05
31,0,9.765625000000038e-05,-7.072725419447949e-05,6.733794382197944e-05
32,5,9.765625000000147e-05,-6.905339660024984e-05,6.905339660024981e-05
33,0,9.76562500000004e-05,-6.733794382197948e-05,7.072725419447946e-05
34,1,9.765625000000062e-05,-6.558192918427956e-05,7.235850833544566e-05
35,0,9.76562500000004e-05,-6.378641044470504e-05,7.394617641664917e-05
36,2,9.76562500000006e-05,-6.19524691566064e-05,7.548930208620523e-05
