xi,v2_xi,absF,reF,imF
37,0,9.76562500000004e-05,-6.00812100176396e-05,7.698695582291107e-05
38,1,9.765625000000062e-05,-5.817376020433957e-05,7.843823549615721e-05
39,0,9.76562500000004e-05,-5.6231268693149196e-05,7.984226690933467e-05
40,3,9.765625000000148e-05,-5.425490556832137e-05,8.119820432642166e-05
41,0,9.76562500000004e-05,-5.224586131709957e-05,8.250523098141703e-05
42,1,9.765625000000062e-05,-5.020534611261965e-05,8.376255957033958e-05
43,0,9.76562500000004e-05,-4.813458908494006e-05,8.496943272546044e-05
44,2,9.765625000000062e-05,-4.603483758066414e-05,8.612512347151958e-05
45,0,9.765625000000041e-05,-4.3907356411582876e-05,8.72289356636249e-05
46,1,9.765625000000063e-05,-4.1753427092801275e-05,8.828020440658682e-05
47,0,9.765625000000041e-05,-3.957434707079998e-05,8.927829645542329e-05
48,4,9.76562500000015e-05,-3.737142894190389e-05,9.022261059680672e-05
49,0,9.765625000000043e-05,-3.5145999661620114e-05,9.111257801120535e-05
50,1,9.765625000000064e-05,-3.289939974533423e-05,9.194766261552997e-05
51,0,9.765625000000043e-05,-3.063298246082941e-05,9.272736138603913e-05
52,2,9.765625000000064e-05,-2.8348113013131304e-05,9.345120466134913e-05
53,0,9.765625000000043e-05,-2.6046167722158188e-05,9.411875642533633e-05
54,1,9.765625000000066e-05,-2.37285331936783e-05,9.472961456978031e-05
55,0,9.765625000000045e-05,-2.139660548406944e-05,9.528341113657548e-05
56,3,9.765625000000152e-05,-1.905178925938785e-05,9.577981253937947e-05
57,0,9.765625000000045e-05,-1.669549694924827e-05,9.621851976454548e-05
58,1,9.765625000000066e-05,-1.4329147896031545e-05,9.659926855124879e-05
59,0,9.765625000000044e-05,-1.195416749992354e-05,9.692182955065571e-05
60,2,9.765625000000067e-05,-9.571986360308747e-06,9.71860084640824e-05
61,0,9.765625000000044e-05,-7.184039414030083e-06,9.739164616002878e-05
62,1,9.765625000000066e-05,-4.791765071036976e-06,9.753861877003703e-05
63,0,9.765625000000045e-05,-2.396604347940692e-06,9.762683776330165e-05
64,6,0.24990234375000042,7.196290275918867e-17,-0.24990234375000042
65,0,9.765625000000045e-05,2.3966043479406363e-06,9.762683776330165e-05
66,1,9.765625000000067e-05,4.791765071036921e-06,9.753861877003704e-05
67,0,9.765625000000047e-05,7.184039414030028e-06,9.73916461600288e-05
68,2,9.765625000000068e-05,9.571986360308692e-06,9.718600846408241e-05
69,0,9.765625000000048e-05,1.1954167499923485e-05,9.692182955065575e-05
70,1,9.76562500000007e-05,1.4329147896031494e-05,9.659926855124884e-05
71,0,9.765625000000048e-05,1.669549694924822e-05,9.621851976454552e-05
72,3,9.765625000000158e-05,1.9051789259387803e-05,9.577981253937952e-05
73,0,9.76562500000005e-05,2.1396605484069393e-05,9.528341113657554e-05
74,1,9.76562500000007e-05,2.372853319367826e-05,9.472961456978037e-05
75,0,9.765625000000048e-05,2.6046167722158147e-05,9.41187564253364e-05
76,2,9.765625000000071e-05,2.8348113013131267e-05,9.345120466134921e-05
77,0,9.76562500000005e-05,3.063298246082937e-05,9.272736138603921e-05
78,1,9.765625000000071e-05,3.2899399745334203e-05,9.194766261553005e-05
79,0,9.765625000000051e-05,3.5145999661620094e-05,9.111257801120545e-05
80,4,9.765625000000158e-05,3.737142894190388e-05,9.022261059680682e-05
81,0,9.765625000000051e-05,3.9574347070799974e-05,8.92782964554234e-05
82,1,9.765625000000072e-05,4.1753427092801275e-05,8.828020440658693e-05
83,0,9.765625000000052e-05,4.390735641158289e-05,8.722893566362502e-05
84,2,9.765625000000074e-05,4.603483758066416e-05,8.61251234715197e-05
85,0,9.765625000000052e-05,4.8134589084940086e-05,8.496943272546056e-05
86,1,9.765625000000074e-05,5.020534611261967e-05,8.376255957033972e-05
87,0,9.765625000000052e-05,5.224586131709959e-05,8.250523098141716e-05
88,3,9.765625000000162e-05,5.4254905568321406e-05,8.11982043264218e-05
89,0,9.765625000000053e-05,5.6231268693149243e-05,7.98422669093348e-05
90,1,9.765625000000076e-05,5.817376020433962e-05,7.843823549615736e-05
91,0,9.765625000000055e-05,6.0081210017639655e-05,7.698695582291121e-05
92,2,9.765625000000076e-05,6.195246915660646e-05,7.54893020862054e-05
93,0,9.765625000000055e-05,6.37864104447051e-05,7.394617641664931e-05
94,1,9.765625000000076e-05,6.558192918427963e-05,7.235850833544581e-05
95,0,9.765625000000053e-05,6.733794382197954e-05,7.072725419447961e-05
96,5,9.765625000000163e-05,6.90533966002499e-05,6.905339660024997e-05
97,0,9.765625000000055e-05,7.072725419447955e-05,6.73379438219796e-05
98,1,9.765625000000078e-05,7.235850833544577e-05,6.558192918427968e-05
99,0,9.765625000000056e-05,7.394617641664927e-05,6.378641044470516e-05
100,2,9.765625000000078e-05,7.548930208620534e-05,6.195246915660654e-05
101,0,9.765625000000056e-05,7.698695582291117e-05,6.008121001763973e-05
102,1,9.765625000000078e-05,7.843823549615732e-05,5.81737602043397e-05
103,0,9.765625000000056e-05,7.984226690933478e-05,5.623126869314932e-05
104,3,9.765625000000165e-05,8.119820432642178e-05,5.425490556832148e-05
105,0,9.765625000000056e-05,8.250523098141716e-05,5.2245861317099666e-05
106,1,9.765625000000079e-05,8.376255957033973e-05,5.020534611261974e-05
107,0,9.765625000000056e-05,8.496943272546057e-05,4.813458908494016e-05
108,2,9.765625000000078e-05,8.612512347151972e-05,4.6034837580664236e-05
109,0,9.765625000000057e-05,8.722893566362504e-05,4.3907356411582964e-05
110,1,9.765625000000079e-05,8.828020440658697e-05,4.1753427092801356e-05
111,0,9.765625000000059e-05,8.927829645542344e-05,3.957434707080006e-05
112,4,9.765625000000167e-05,9.022261059680687e-05,3.7371428941903974e-05
113,0,9.76562500000006e-05,9.111257801120551e-05,3.514599966162018e-05
114,1,9.765625000000082e-05,9.194766261553013e-05,3.289939974533429e-05
115,0,9.76562500000006e-05,9.27273613860393e-05,3.063298246082946e-05
116,2,9.765625000000082e-05,9.345120466134929e-05,2.8348113013131358e-05
117,0,9.76562500000006e-05,9.41187564253365e-05,2.604616772215824e-05
118,1,9.765625000000082e-05,9.472961456978048e-05,2.3728533193678344e-05
119,0,9.765625000000062e-05,9.528341113657565e-05,2.1396605484069478e-05
120,3,9.76562500000017e-05,9.577981253937963e-05,1.9051789259387885e-05
121,0,9.765625000000062e-05,9.621851976454565e-05,1.6695496949248298e-05
122,1,9.765625000000082e-05,9.659926855124895e-05,1.432914789603157e-05
123,0,9.76562500000006e-05,9.692182955065587e-05,1.1954167499923561e-05
124,2,9.765625000000083e-05,9.718600846408256e-05,9.571986360308763e-06
125,0,9.765625000000062e-05,9.739164616002896e-05,7.184039414030096e-06
126,1,9.765625000000083e-05,9.75386187700372e-05,4.7917650710369845e-06
127,0,9.765625000000062e-05,9.762683776330181e-05,2.3966043479406964e-06
128,7,1.3877787807814457e-17,-1.3877787807814457e-17,0.0
129,0,9.76562500000003e-05,9.76268377633015e-05,-2.3966043479406604e-06
130,1,9.765625000000052e-05,9.753861877003689e-05,-4.791765071036941e-06
131,0,9.765625000000032e-05,9.739164616002866e-05,-7.1840394140300445e-06
132,2,9.765625000000053e-05,9.718600846408226e-05,-9.571986360308704e-06
133,0,9.765625000000032e-05,9.692182955065559e-05,-1.1954167499923494e-05
134,1,9.765625000000055e-05,9.659926855124868e-05,-1.4329147896031498e-05
135,0,9.765625000000033e-05,9.621851976454537e-05,-1.669549694924822e-05
136,3,9.765625000000141e-05,9.577981253937936e-05,-1.90517892593878e-05
137,0,9.765625000000034e-05,9.528341113657539e-05,-2.1396605484069387e-05
138,1,9.765625000000055e-05,9.472961456978022e-05,-2.3728533193678246e-05
139,0,9.765625000000033e-05,9.411875642533625e-05,-2.6046167722158134e-05
140,2,9.765625000000056e-05,9.345120466134906e-05,-2.834811301313125e-05
141,0,9.765625000000034e-05,9.272736138603906e-05,-3.063298246082935e-05
142,1,9.765625000000056e-05,9.19476626155299e-05,-3.2899399745334176e-05
143,0,9.765625000000034e-05,9.11125780112053e-05,-3.514599966162006e-05
144,4,9.765625000000143e-05,9.022261059680667e-05,-3.737142894190384e-05
145,0,9.765625000000034e-05,8.927829645542323e-05,-3.9574347070799933e-05
146,1,9.765625000000057e-05,8.828020440658678e-05,-4.175342709280123e-05
147,0,9.765625000000036e-05,8.722893566362487e-05,-4.3907356411582835e-05
148,2,9.765625000000057e-05,8.612512347151955e-05,-4.603483758066411e-05
149,0,9.765625000000037e-05,8.496943272546042e-05,-4.8134589084940025e-05
150,1,9.765625000000057e-05,8.376255957033957e-05,-5.02053461126196e-05
151,0,9.765625000000037e-05,8.250523098141703e-05,-5.2245861317099524e-05
152,3,9.765625000000147e-05,8.119820432642166e-05,-5.425490556832134e-05
153,0,9.765625000000038e-05,7.984226690933467e-05,-5.623126869314917e-05
154,1,9.765625000000059e-05,7.843823549615721e-05,-5.8173760204339535e-05
155,0,9.765625000000038e-05,7.698695582291108e-05,-6.008121001763956e-05
156,2,9.76562500000006e-05,7.548930208620526e-05,-6.195246915660637e-05
157,0,9.765625000000038e-05,7.394617641664919e-05,-6.378641044470499e-05
158,1,9.76562500000006e-05,7.235850833544569e-05,-6.558192918427952e-05
159,0,9.765625000000038e-05,7.072725419447949e-05,-6.733794382197944e-05
160,5,9.765625000000147e-05,6.905339660024984e-05,-6.905339660024981e-05
161,0,9.76562500000004e-05,6.733794382197948e-05,-7.072725419447946e-05
162,1,9.765625000000062e-05,6.558192918427956e-05,-7.235850833544566e-05
163,0,9.76562500000004e-05,6.378641044470504e-05,-7.394617641664917e-05
164,2,9.76562500000006e-05,6.19524691566064e-05,-7.548930208620523e-05
165,0,9.76562500000004e-05,6.00812100176396e-05,-7.698695582291107e-05
166,1,9.765625000000062e-05,5.817376020433957e-05,-7.843823549615721e-05
167,0,9.76562500000004e-05,5.6231268693149196e-05,-7.984226690933467e-05
168,3,9.765625000000148e-05,5.425490556832137e-05,-8.119820432642166e-05
169,0,9.76562500000004e-05,5.224586131709957e-05,-8.250523098141703e-05
170,1,9.765625000000062e-05,5.020534611261965e-05,-8.376255957033958e-05
171,0,9.76562500000004e-05,4.813458908494006e-05,-8.496943272546044e-05
172,2,9.765625000000062e-05,4.603483758066414e-05,-8.612512347151958e-05
173,0,9.765625000000041e-05,4.3907356411582876e-05,-8.72289356636249e-05
174,1,9.765625000000063e-05,4.1753427092801275e-05,-8.828020440658682e-05
175,0,9.765625000000041e-05,3.957434707079998e-05,-8.927829645542329e-05
176,4,9.76562500000015e-05,3.737142894190389e-05,-9.022261059680672e-05
177,0,9.765625000000043e-05,3.5145999661620114e-05,-9.111257801120535e-05
178,1,9.765625000000064e-05,3.289939974533423e-05,-9.194766261552997e-05
179,0,9.765625000000043e-05,3.063298246082941e-05,-9.272736138603913e-05
180,2,9.765625000000064e-05,2.8348113013131304e-05,-9.345120466134913e-05
181,0,9.765625000000043e-05,2.6046167722158188e-05,-9.411875642533633e-05
182,1,9.765625000000066e-05,2.37285331936783e-05,-9.472961456978031e-05
183,0,9.765625000000045e-05,2.139660548406944e-05,-9.528341113657548e-05
184,3,9.765625000000152e-05,1.905178925938785e-05,-9.577981253937947e-05
185,0,9.765625000000045e-05,1.669549694924827e-05,-9.621851976454548e-05
186,1,9.765625000000066e-05,1.4329147896031545e-05,-9.659926855124879e-05
187,0,9.765625000000044e-05,1.195416749992354e-05,-9.692182955065571e-05
188,2,9.765625000000067e-05,9.571986360308747e-06,-9.71860084640824e-05
189,0,9.765625000000044e-05,7.184039414030083e-06,-9.739164616002878e-05
190,1,9.765625000000066e-05,4.791765071036976e-06,-9.753861877003703e-05
191,0,9.765625000000045e-05,2.396604347940692e-06,-9.762683776330165e-05
192,6,0.24990234375000042,-7.196290275918867e-17,0.24990234375000042
193,0,9.765625000000045e-05,-2.3966043479406363e-06,-9.762683776330165e-05
194,1,9.765625000000067e-05,-4.791765071036921e-06,-9.753861877003704e-05
195,0,9.765625000000047e-05,-7.184039414030028e-06,-9.73916461600288e-05
196,2,9.765625000000068e-05,-9.571986360308692e-06,-9.718600846408241e-05
197,0,9.765625000000048e-05,-1.1954167499923485e-05,-9.692182955065575e-05
198,1,9.76562500000007e-05,-1.4329147896031494e-05,-9.659926855124884e-05
199,0,9.765625000000048e-05,-1.669549694924822e-05,-9.621851976454552e-05
200,3,9.765625000000158e-05,-1.9051789259387803e-05,-9.577981253937952e-05
201,0,9.76562500000005e-05,-2.1396605484069393e-05,-9.528341113657554e-05
202,1,9.76562500000007e-05,-2.372853319367826e-05,-9.472961456978037e-05
203,0,9.765625000000048e-05,-2.6046167722158147e-05,-9.41187564253364e-05
204,2,9.765625000000071e-05,-2.8348113013131267e-05,-9.345120466134921e-05
205,0,9.76562500000005e-05,-3.063298246082937e-05,-9.272736138603921e-05
206,1,9.765625000000071e-05,-3.2899399745334203e-05,-9.194766261553005e-05
207,0,9.765625000000051e-05,-3.5145999661620094e-05,-9.111257801120545e-05
208,4,9.765625000000158e-05,-3.737142894190388e-05,-9.022261059680682e-05
209,0,9.765625000000051e-05,-3.9574347070799974e-05,-8.92782964554234e-05
210,1,9.765625000000072e-05,-4.1753427092801275e-05,-8.828020440658693e-05
211,0,9.765625000000052e-05,-4.390735641158289e-05,-8.722893566362502e-05
212,2,9.765625000000074e-05,-4.603483758066416e-05,-8.61251234715197e-05
213,0,9.765625000000052e-05,-4.8134589084940086e-05,-8.496943272546056e-05
214,1,9.765625000000074e-05,-5.020534611261967e-05,-8.376255957033972e-05
215,0,9.765625000000052e-05,-5.224586131709959e-05,-8.250523098141716e-05
216,3,9.765625000000162e-05,-5.4254905568321406e-05,-8.11982043264218e-05
217,0,9.765625000000053e-05,-5.6231268693149243e-05,-7.98422669093348e-05
218,1,9.765625000000076e-05,-5.817376020433962e-05,-7.843823549615736e-05
219,0,9.765625000000055e-05,-6.0081210017639655e-05,-7.698695582291121e-05
220,2,9.765625000000076e-05,-6.195246915660646e-05,-7.54893020862054e-05
221,0,9.765625000000055e-05,-6.37864104447051e-05,-7.394617641664931e-05
222,1,9.765625000000076e-05,-6.558192918427963e-05,-7.235850833544581e-05
223,0,9.765625000000053e-05,-6.733794382197954e-05,-7.072725419447961e-05
224,5,9.765625000000163e-05,-6.90533966002499e-05,-6.905339660024997e-05
225,0,9.765625000000055e-05,-7.072725419447955e-05,-6.73379438219796e-05
226,1,9.765625000000078e-05,-7.235850833544577e-05,-6.558192918427968e-05
227,0,9.765625000000056e-05,-7.394617641664927e-05,-6.378641044470516e-05
228,2,9.765625000000078e-05,-7.548930208620534e-05,-6.195246915660654e-05
229,0,9.765625000000056e-05,-7.698695582291117e-05,-6.008121001763973e-05
230,1,9.765625000000078e-05,-7.843823549615732e-05,-5.81737602043397e-05
231,0,9.765625000000056e-05,-7.984226690933478e-05,-5.623126869314932e-05
232,3,9.765625000000165e-05,-8.119820432642178e-05,-5.425490556832148e-05
233,0,9.765625000000056e-05,-8.250523098141716e-05,-5.2245861317099666e-05
234,1,9.765625000000079e-05,-8.376255957033973e-05,-5.020534611261974e-05
235,0,9.765625000000056e-05,-8.496943272546057e-05,-4.813458908494016e-05
236,2,9.765625000000078e-05,-8.612512347151972e-05,-4.6034837580664236e-05
237,0,9.765625000000057e-05,-8.722893566362504e-05,-4.3907356411582964e-05
238,1,9.765625000000079e-05,-8.828020440658697e-05,-4.1753427092801356e-05
239,0,9.765625000000059e-05,-8.927829645542344e-05,-3.957434707080006e-05
240,4,9.765625000000167e-05,-9.022261059680687e-05,-3.7371428941903974e-05
241,0,9.76562500000006e-05,-9.111257801120551e-05,-3.514599966162018e-05
242,1,9.765625000000082e-05,-9.194766261553013e-05,-3.289939974533429e-05
243,0,9.76562500000006e-05,-9.27273613860393e-05,-3.063298246082946e-05
244,2,9.765625000000082e-05,-9.345120466134929e-05,-2.8348113013131358e-05
245,0,9.76562500000006e-05,-9.41187564253365e-05,-2.604616772215824e-05
246,1,9.765625000000082e-05,-9.472961456978048e-05,-2.3728533193678344e-05
247,0,9.765625000000062e-05,-9.528341113657565e-05,-2.1396605484069478e-05
248,3,9.76562500000017e-05,-9.577981253937963e-05,-1.9051789259387885e-05
249,0,9.765625000000062e-05,-9.621851976454565e-05,-1.6695496949248298e-05
250,1,9.765625000000082e-05,-9.659926855124895e-05,-1.432914789603157e-05
251,0,9.76562500000006e-05,-9.692182955065587e-05,-1.1954167499923561e-05
252,2,9.765625000000083e-05,-9.718600846408256e-05,-9.571986360308763e-06
253,0,9.765625000000062e-05,-9.739164616002896e-05,-7.184039414030096e-06
254,1,9.765625000000083e-05,-9.75386187700372e-05,-4.7917650710369845e-06
255,0,9.765625000000062e-05,-9.762683776330181e-05,-2.3966043479406964e-06
